CountryCode,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23
ALB,1.30884672628238,1.3123617506103828,1.6127254946407743,0.6110756657575901,1.6013850101715812,-0.5756598257391342,-0.6149679580071259,-0.6449713517484186,0.3598382445202094,0.8706139447775959,0.6395990637044441,-1.4193659278026223,0.15573745392481192,0.23730310831218662,-0.551224482384775,-0.3475726947467321,-0.021850355336824924,0.09462220858307274,0.102512041737818,0.01322859429282505,0.1260349942169261,-0.01784608790308,-0.05067438046883575
AND,2.2336353538502722,-0.7765192635297601,-1.5415523884720905,0.15291935922163993,0.09708858750228459,-1.4439567210863107,-0.32672787328784625,0.19772033771718056,1.2247630047359397,0.22177709945223,-0.4633349711418425,-0.35258365210856235,-0.36508509040685744,0.5440954600304322,-0.21600403782937572,0.5154948646738838,-0.31773317246630145,0.18986947623507852,0.0712122671894419,-0.18891856813561186,-0.19141117284421935,-0.5003586256954659,-0.06733757752393277
ARE,1.5167420170007153,-0.7556260870125109,0.028439171048948275,-0.9779980922784373,-0.9642401538120774,-2.4678581527490877,0.3729004675657595,0.018272902702235926,-0.04697326181849853,0.375522396671139,-0.6968535528830097,0.018360607664340344,-1.29331965285384,0.269919209656547,-0.3849152260730994,-0.5155373188490703,0.6401667009181154,0.20970560081969217,0.20986724730566989,0.1780117730171026,0.027752526939168378,0.11743490981918069,0.04623845053410476
ARG,-0.36726608062077093,-0.3719791886410827,-0.8800777436824743,1.5258534490742224,0.17731825521884434,-0.26322337875875657,-0.7353233856299366,0.5344440400755808,0.0806002561718142,-0.7583335438666914,1.2077735059832737,-0.42889112867686074,0.3722084751948662,-0.288694549409386,-0.19780423195219204,-0.2629749430694227,-0.04038591049643298,0.07904750894758088,-0.3257372421394781,-0.052782445618651246,-0.08343306038387818,0.026783239624822278,0.02017086149854223
ARM,9.570162785668625,8.171358685705338,6.972772310719374,1.6893026086185212,-2.1227009266521515,-1.8369553585972322,1.8461994626717926,0.7669588958695103,0.27965100909605106,0.002410684976556766,-1.3844677031523869,0.5274747842997931,-0.8636964521458593,-2.0381924100337234,0.7049177497123028,-0.47213635818032285,0.24165012467353217,-1.3220659599530267,-0.23521077224352652,-0.557043061102826,-0.37488078413527487,0.06526560428939476,-0.0008809964379652653
ASM,0.8743173234687991,1.7157719979292516,-0.44835600380779017,-0.5768148015027358,-0.02906253506415729,0.5189115133521824,0.06283128834393839,-0.1084942865285232,-0.015626537868266576,0.2884332698130318,-0.05523951689532098,-0.1658409251081582,0.36440980370728643,-0.3758826413511866,-1.0685624947962604,0.8439350263649597,-0.38469058271166834,0.7156834084743684,0.08784063136323171,-0.17238470488626173,-0.8970553685271381,0.03702732910089538,0.005513354009825289
ATG,-0.30856440768696064,-0.07087502051168039,-0.29643521361555714,-0.22420163397005968,0.15996115022822266,-1.221776765895071,-0.19733007904923117,-0.7934370055267083,-0.18080554510315455,0.3096007815001012,-0.12290736214855884,-0.07261364632388999,-0.8302018035262134,0.35079516578995407,-0.49354624762582944,0.029990601856638512,-0.030240908069868004,0.15191532475857514,0.02127483209325935,-0.008966634005984664,0.0663410577006712,-0.1082076819243728,-0.05891133116318572
AUS,2.287773643419158,-1.375638677274107,-0.4597491142592215,0.7803932865603399,0.7491126875342944,-0.9179040953522326,-0.39789967464988735,0.9250892511534297,0.2013193847347748,-0.5162604354034253,0.0803470185782358,-0.765125521858113,0.8762311903591258,-0.33827001265690404,0.15406569999972713,-0.26760499858786385,0.15600961892296936,0.24712641058701595,0.04608017708251785,0.05222870731201049,0.06437145756353713,-0.044354767087238796,0.030183874611290653
AUT,2.216941629606587,-2.962019983042409,-0.9079349085131575,0.21283946456125882,1.5506472213722593,0.1630332756037973,0.07606862362447012,0.5940015204412837,-0.8553997723653705,0.030117333855134796,0.18945390734580353,1.105033542750452,-0.061943289401791904,-0.8664190575430003,-0.22296162438888495,-0.3122910645076375,0.21785240549605253,-0.18796319965585304,-0.11135790416982563,0.1780625044475663,-0.03446929306903945,-0.03963635541237537,0.0337829460172363
AZE,-0.2955633966841372,-0.634908979365004,0.2640947238337398,-0.8235188987052079,1.755982405873342,-1.2216739445645128,-0.19737881864011952,-0.1263091567781242,0.4521053955012781,-0.11370927470387204,0.25679161842022374,0.10675249346752537,-1.0739210525066745,0.6592131825525261,0.07211249556545278,0.20117239664015255,-0.42680786914029334,-0.19285115440666908,0.021374875080814273,-0.004300017914583933,-0.19359563145858416,0.15847406317090815,-0.06116225100130492
