Code,denumire_coloana,Shannon,Simpson
1017,Municipiul Alba Iulia,0.21697787568231894,-5.920680090614092
1071,Ciugud,0.04324458231362433,-18.987224023009496
1151,Oras Abrud,0.07188986815877803,-17.977484427206818
1213,Municipiul Aiud,0.6172541869797761,-15.662283274431882
1348,Municipiul Blaj,0.557939453332671,-17.719539443610493
1455,Oras Campeni,0.1336526101904815,-19.942388555053522
1696,Oras Cugir,0.22099635430491113,-14.911662052079645
1794,Oras Ocna Mures,0.5632453773649105,-17.711524369692242
1874,Municipiul Sebes,0.2805483431125468,-15.881788411416316
1936,Oras Zlatna,0.22606979136775768,-17.89855855953406
2130,Albac,0.08543810860182788,-19.966903244779925
2309,Almasu Mare,0.030132436345304568,-19.99055139400737
2381,Arieseni,0.01276313153495814,-19.99653580719606
2577,Avram Iancu,0.33499420233938537,-19.812741256921456
2915,Oras Baia De Aries,0.03170656643487512,-19.989964836094348
2988,Berghin,0.2939448604575742,-17.876546006968372
3039,Bistra,0.03516389021123107,-19.988654782718648
3397,Blandiana,0.09095862014156512,-19.964257656531302
3459,Bucium,-0.0,-21.0
3761,Cenade,0.5158942577759259,-17.738385671053393
3805,Cergau,0.3793084722542086,-19.779290758314264
3841,Ceru-Bacainti,-0.0,-21.0
3958,Cetatea De Balta,1.0483384624671515,-17.378220995631615
4008,Ciuruleasa,-0.0,-21.0
4106,Calnic,0.5847291648081275,-18.616157860083923
4142,Cricau,0.09429925297324868,-18.96573781587447
4188,Craciunelu De Jos,0.18270962908742056,-18.925476575157113
4240,Daia Romana,0.018039808209698752,-19.994824434100213
4268,Dostat,0.11651011918336929,-19.951455651130978
4302,Farau,0.7131810368581855,-18.579147405815533
4366,Galda De Jos,0.27062230083658845,-18.866369605414437
4482,Garbova,0.39494728961801084,-17.809949370455733
4525,Garda De Sus,-0.0,-21.0
4703,Hoparta,0.5119167257891248,-18.693979793388568
4767,Horea,0.15192152097268763,-19.93233386946897
4927,Ighiu,0.15385307234537027,-18.938180690889904
4981,Intregalde,-0.0,-21.0
5103,Jidvei,0.7119451935089546,-17.585305925292467
5167,Livezile,0.05984092166950026,-18.981281881269325
5210,Lopadea Noua,0.7113265016381164,-18.49848235670688
5309,Lunca Muresului,0.8974245618893981,-18.469522259261126
5336,Lupsa,-0.0,-21.0
5577,Metes,0.03495776324846581,-18.9900164428428
5700,Mihalt,0.08176629776156955,-18.971317339298757
5755,Miraslau,0.753603335435751,-18.539074147042363
5826,Mogos,-0.0,-21.0
6048,Noslac,0.5850183930929658,-18.68172918787689
6119,Ocolis,-0.0,-21.0
6164,Ohaba,0.12182417163962067,-19.94868430924071
6217,Pianu,0.04847974828391938,-17.986141770856054
6271,Poiana Vadului,-0.0,-21.0
6397,Ponor,-0.0,-21.0
6468,Posaga,-0.0,-21.0
6547,Radesti,0.5929716148578166,-18.657039264290468
6592,Rametea,0.40830091560700565,-18.766322384693282
6627,Ramet,-0.0,-21.0
6761,Rosia Montana,0.40155661618215976,-18.770489747702722
6930,Rosia De Secas,0.238964240738282,-17.894455766714017
6976,Salciua,-0.0,-21.0
7044,Salistea,-0.0,-21.0
7099,Sasciori,0.0442254079015119,-18.98638353610477
7197,Scarisoara,0.4349609564566659,-19.7350535486717
7348,Sancel,0.22612202024357614,-18.89487188592642
7384,Santimbru,0.13238188542973867,-18.951051505878638
7446,Sohodol,0.11455834515028669,-19.95246442263324
7767,Stremt,0.032029602415930496,-19.98984368399123
7810,Sibot,0.1446648641446663,-19.936374653739612
7865,Sona,0.7709217329644924,-17.552144460552714
7945,Spring,0.19983742703085056,-17.917485268228276
8014,Sugag,0.020625363780945764,-19.993948618521188
8096,Oras Teius,0.45216123974196143,-17.7795630518842
8158,Unirea,0.7676980533229179,-17.572160977612718
8229,Vadu Motilor,-0.0,-21.0
8354,Valea Lunga,0.3113652149587083,-17.86908953510209
8425,Vidra,0.013558971840302553,-19.99628484258877
8826,Vintu De Jos,0.16402668245016513,-15.941199531381681
9019,Cut,0.08200297558882677,-19.968526570197945
9026,Bucerdea Granoasa,0.8632786042730511,-18.501505267521168
9262,Municipiul Arad,0.5534393314478485,-1.746994170189863
9280,Fantanele,0.5411327853067436,-14.758338563897647
9333,Livada,0.39875792322424086,-15.811422307377011
9360,Sofronea,0.6542137833009979,-18.55068189951415
9397,Vladimirescu,0.2494733500476468,-9.912570615375214
9459,Oras Chisineu-Cris,0.7637123414896361,-14.583791907524741
9495,Oras Curtici,0.4768449064401105,-15.767285047989489
9538,Oras Ineu,0.5077848711638662,-13.761631027700622
9574,Oras Lipova,0.30374610814870706,-12.885494665922666
9627,Oras Nadlac,1.0305434641369942,-12.418982933675057
9654,Oras Pancota,0.7598329447410574,-15.63557023638208
9690,Oras Sebis,0.3694552709113685,-15.830936613831298
9743,Almas,0.09090543549651506,-19.96428335693639
9798,Apateu,0.13883940738896397,-18.942400025464462
9832,Archis,0.212002402383283,-19.896662787457586
9887,Bata,0.16870329409673798,-18.928343356560426
9930,Beliu,0.39222824447491755,-16.835976200319003
10006,Birchis,0.3321383678469378,-18.828188650928816
10051,Barsa,0.13542085501557677,-18.948844912190083
10104,Barzava,0.13276589670435401,-16.956848851229704
10195,Bocsig,0.14067664525067888,-18.94773784281795
10239,Brazii,-0.0,-21.0
10293,Buteni,0.05779664480784305,-18.98203962458775
10346,Carand,0.24626656526799323,-18.882230384654626
10373,Cermei,0.49331943901612085,-16.76899479322124
10417,Chisindia,0.1587839780672453,-19.9284570924671
10453,Conop,0.07946338711381755,-18.97345581445898
10514,Covasint,0.6272028147871359,-17.60367441547971
10532,Craiva,0.42583294964140717,-18.772251442088862
10649,Dezna,0.017780574600977775,-19.99491097459392
10701,Dieci,0.08685987384967697,-19.96622619005444
10765,Ususau,0.03641262608726291,-18.98953119786453
10827,Felnac,0.6752802458183593,-15.656674454115894
10872,Ghioroc,0.5309707275192674,-15.712790981276676
10916,Graniceri,0.3410115922880015,-17.84528097796717
10943,Gurahont,0.13302046015991784,-16.955036774472152
11058,Halmagiu,0.016900389936970565,-18.995690440453394
11174,Halmagel,-0.0,-21.0
11236,Hasmas,0.1155937170701411,-19.951929906152294
11307,Ignesti,-0.0,-21.0
11352,Iratosu,0.8028064580759764,-16.47818501742167
11398,Macea,0.44602001555949133,-16.80342169948009
11423,Misca,1.1012160869098724,-17.340150803252577
11478,Moneasa,0.06549147980398042,-18.978973392101288
11502,Olari,1.0689796204509796,-15.416296963340905
11539,Paulis,0.3697910764735881,-14.846608607220814
11584,Oras Pecica,0.9412075909331914,-11.472472550234361
11637,Peregu Mare,1.4637600389149623,-13.304887272616147
11664,Petris,0.059387374443218136,-17.982664599265615
11735,Pilu,0.5607700908681378,-18.70477809955199
11762,Plescuta,0.02693705228781828,-19.99172199730654
11842,Savarsin,0.06836477900497528,-17.978925710705614
11940,Secusigiu,0.5965983203889642,-15.739538052728562
11995,Seleus,0.03631425233032663,-18.989351282564556
12037,Semlac,0.6460617967026597,-14.713839670470891
12055,Sintea Mare,1.1355895479801228,-16.38138184904801
12091,Oras Santana,0.5529044501321382,-14.742241152418526
12126,Socodor,0.453114288040084,-17.78095594605211
12144,Sagu,0.46694149961601805,-13.79661755826591
12206,Seitin,0.41627493926003595,-15.800147451658486
12224,Sepreus,0.4274189922200805,-17.759057220163246
12242,Sicula,0.11648352067405819,-15.961096299511656
12288,Silindia,0.4883517857591667,-16.75659897105482
12340,Simand,0.484427715920608,-17.764583424583066
12368,Siria,0.5739081489776723,-15.719239362318774
12402,Sistarovat,0.05270323492540749,-19.981596679734302
12457,Taut,0.1519833088543868,-16.949973439236
12509,Tarnova,0.4510527003997164,-15.777918395275641
12572,Varadia De Mures,0.045899675815162536,-17.987138168318214
12643,Vinga,1.2403332825746358,-13.392854729511326
12689,Varfurile,0.09226454796495076,-17.96745780371644
12778,Zabrani,0.13362796465659435,-15.956240773200989
12812,Zarand,0.1565302658484666,-18.933281298345356
12849,Zerind,0.39114910361438204,-18.804536080989703
12876,Zimandu Nou,0.754906913341504,-16.51852833289725
12912,Dorobanti,0.418868917968097,-16.798794864874388
12920,Frumuseni,0.24022868394580682,-16.908698301838747
12938,Zadareni,0.18629871133139772,-17.931224743837756
13169,Municipiul Pitesti,0.06158441167078511,-4.982925430807481
13187,Bascov,0.055362308028062364,-17.982147741797995
13276,Bradu,0.07605566730604152,-18.972771555559383
13301,Oras Mioveni,0.04714099566605315,-15.98536687079531
