County,Shannon,Simpson
ab,0.3874757871298213,-3.826370029223976
ag,0.1392944303591306,-4.9432918460487025
ar,0.6340548554372492,-1.7191931647695124
b,0.16901204793950633,0.05252686593839151
bc,0.18562987605363154,-5.9299009878105124
bh,0.8629017336518239,-3.516757906708011
bn,0.39796998419349683,-8.818700536234788
br,0.186635868979476,-5.928668037165263
bt,0.08415869939086547,-9.972829267877692
bv,0.4739882232211701,-0.7810911566412642
bz,0.19645661625231461,-10.90866695243371
cj,0.6214935708820862,-0.668295865198477
cl,0.30146935687891624,-5.846469624406993
cs,0.5260443538951544,-2.808171434127627
ct,0.4230755872887144,-0.8344027907714799
cv,0.6976673094266971,-7.594429048355689
db,0.24867679491437902,-8.887354968090804
dj,0.20739268090417007,-4.9060762583524085
gj,0.10685128950192485,-7.958664917672346
gl,0.17017749348161065,-3.9297702414001154
gr,0.226784951059442,-9.890104876656565
hd,0.29868121836127404,-2.878311865364525
hr,0.4756992671960916,-11.743674328529604
if,0.24573211654330854,-2.9005112058904547
il,0.2323567319475738,-7.891017572905181
is,0.13101670722580736,-2.955630672210206
mh,0.23390364714296552,-5.902147216035015
mm,0.6455658713970609,-4.698834213309747
ms,0.9458653029812545,-1.4299832161771886
nt,0.08706142749819341,-7.969348409990939
ot,0.11384688732412696,-12.954026258970313
ph,0.1281818200642474,-3.949778345427192
sb,0.4000704462487905,-3.8305052069504484
sj,0.8146039334385728,-11.536597568204872
sm,0.9355815483232849,-5.458970840694416
sv,0.2110698501794517,-6.926517543402954
tl,0.43022663934174443,-2.8285628111438093
tm,0.6173424967079844,0.24048161815006275
tr,0.11167290478255552,-14.9544993695951
vl,0.10549199205140498,-7.959797802828762
vn,0.16576469199736796,-9.926904074964986
vs,0.08724045938501285,-10.967612649306194
