Regiune,Shannon,Simpson
Bucuresti-Ilfov,0.18564657558036723,0.061112402848260805
Centru,0.8262953098216655,0.491866715641048
Nord-Est,0.1475284567367498,-1.950563229771979
Nord-Vest,0.7743048499908298,-0.5978200346224047
Sud,0.18909503118830776,-1.9176416555943003
Sud-Est,0.29954199669031817,-0.8905995899892498
Sud-Vest,0.16045172386461146,-1.9336635736235186
Vest,0.5601131404551142,0.2169266955254875
