CountryCode,F1,F2,F3,F4,F5,F6,F7
ABW,-0.01885078455641874,1.1453058345590255,-0.3637395513734653,-0.22515773070639272,-0.05178587135473036,-1.0697251951646214,0.32616155972926186
AGO,-0.18571890507137628,-1.1297121794409575,-0.34187085961228597,-0.3652822796914426,-0.2654507790818159,0.47516579441747436,-0.12177508635740458
ALB,0.024655387551244967,0.191392362795214,0.9796329349126988,-0.8080827842836518,1.351325702656871,-1.0996344260254924,-0.24665740810482245
AND,0.013620069787971704,1.595822271919015,0.19181629301385583,-0.445556790338337,-0.29558075958077296,0.09216781101997032,-0.4790387129947923
ARE,0.03105284540117534,1.1785397039103307,0.1940394796709382,0.13649173032975973,-0.44957467707924825,0.10254284778152238,-1.5038644580479648
ARG,-0.17888424843909553,0.8328704739142786,-0.2121704838857048,-0.6268695386725217,-0.6767724664103858,-0.7192795473598026,0.5688390365877005
ARM,1.395102306413643,-0.9224468884585583,7.227591591686074,-0.8664566908982763,-0.20131379271528582,-0.5793735121198229,-1.5343925149304178
ASM,0.7054156778024823,-0.7098280411190127,0.48207099264661213,0.15470162651362682,-0.025637058735155826,0.8076854615505261,0.5592176243434739
ATG,-0.1959286290461334,0.4615844185180334,-0.07519522432066478,-0.20768026531402006,-0.10429694685228312,-0.10512252593230192,-0.43052601320405653
AUS,-0.07102572989400047,1.3454097316378564,0.18982931080597223,-0.6163817745078833,0.31955203125454656,0.056999669447406275,-0.27301747571182133
AUT,-0.21525360134420174,1.2441525709595793,-0.5254005742608959,-0.11897160461971164,1.0163614506366099,0.962699765033652,0.996333618823799
AZE,-0.27982927808418373,0.9531720487209864,-0.6278060606706021,-0.8559871698389555,1.2690816894754133,-0.896121379123942,-0.7412545175433725
BDI,-0.08838993375008404,-1.6865600759539097,-0.6648369512637373,0.28537812043288596,1.6253003709494043,0.41371025806161693,-0.056080909691359794
BEL,-0.2072054572362609,1.4301028076585331,-0.5321101864137906,0.03051554624690293,1.4676430315941924,0.8548247788351923,0.9986834979500253
BEN,-0.15551045438255834,-1.3802203828258366,-0.3224545440898707,-0.5545444774529716,-0.01867955204309369,0.5508940895286417,-0.19542715562688093
BFA,-0.12027266307204147,-1.374300790194472,-0.6070387249335586,-0.7155702902500715,1.3458154767782529,0.3280893556774184,-0.13296040699450962
BGD,0.08238499842809503,-1.5864317026652623,0.7656574568666517,-0.3957749415147865,1.3912515245379662,-0.11705996393866892,-0.4591537571389907
BGR,0.23169641833637752,-0.034853730422199254,1.6221278126252952,1.2351507653681155,-0.3622968472769389,-0.4669789309630708,0.21009279755620533
BHR,-0.2828649147540244,1.5987534835269237,-0.3741871802083531,-0.3350273222392304,-0.1855354943147136,-0.6971649891047187,-0.8622964962281643
BHS,-0.2869484894961963,1.1616253974627397,-0.49233775220646164,-0.5446310354631846,-0.025277031384856506,-0.6575525043385486,-0.14108964820414055
BIH,0.16707863354431565,0.27339627744212447,1.8432433571776365,-1.0837882926100242,0.3571878000036996,-0.281265046584853,1.2527415218129931
BLR,-0.10587615227730804,-0.09981086986103341,2.9175404870950867,-0.09211182624999262,1.3909263040024251,0.22687873363430122,0.7200961653480795
BLZ,0.02620755474774533,-0.2046720379230173,-0.01928793900702297,-0.5883354367476642,-1.8868122436880814,-0.09546618530949014,0.8269219862396334
BMU,-0.044117499069076596,2.3998497145725115,-0.7844977250382728,-0.36813331043648884,-0.20166958012711722,-0.8446343371084766,-0.9026800691091084
BOL,-0.06342595098797277,-0.12335723161927066,0.0019369252462560643,-0.5358882677014357,-1.3871950133064253,-0.3510190383540772,0.16348430639853395
BRA,-0.18847750053512552,0.4636583368924146,-0.35063879887173827,-0.13251711843010466,-1.666851409090075,-0.3791948314306692,0.5390316034127434
BRB,-0.15118437982351343,1.1008353795025214,-0.026459138061076175,-0.164561232077139,-0.07295995894467103,-0.8028521047719295,0.6844589300204621
BRN,-0.17709379912233347,0.6736584734725511,-0.6227506400842481,-0.7063631982892968,0.07951448377142709,-0.5437496793654019,-0.31776767675818757
BTN,-0.27816649524216386,-0.6099561121815454,0.9500177176675652,-0.5490193856922901,0.13678074750854843,-0.636475064091932,-0.48543948699276285
BWA,-0.10234549457746259,-0.7190130462735586,-0.32393066539088106,-0.1924535525929855,-2.2926541128133913,0.13891318407458406,1.6352900218544546
CAF,-0.11971830534063534,-1.4719402560576198,-0.20076189741212222,0.3998295895701376,-2.0116805783882974,0.7616575594132163,-0.056349226906885354
CAN,-0.09276580602270523,1.5158128512612228,0.5422126318607562,-0.2709744973256342,0.23337006508561223,0.30693389897730466,-0.6507398926969334
CHE,-0.0063952852300660085,1.3946699946770744,-0.5637429312194279,0.5116243120138805,0.8120757526269432,2.9375147733128415,0.7432714583707402
CHI,-0.11623075389399669,0.0923365059501287,-0.5580653023215297,0.05497464449368012,0.11302156477573007,-0.18352266403525386,-0.060755744277549505
