,Dispersie,Proportie,Cumulat
F1,3.9883431593929592,0.17340622432143302,0.17340622432143302
F2,3.8394974807256625,0.1669346730750288,0.3403408973964618
F3,3.214000446085575,0.13973914982980762,0.4800800472262694
F4,1.9332588109158229,0.0840547309093836,0.564134778135653
F5,1.8974159191566766,0.08249634431115985,0.6466311224468129
F6,0.9181974881269022,0.039921629918560964,0.6865527523653738
F7,0.7228768639175149,0.03142942886597891,0.7179821812313527
